PDB ID,Asym ID1,Asym ID2,Auth Asym ID1,Auth Asym ID2,Uniprot accession1,Uniprot accession2,Uniprot boundary1
4HYX,None,None,"A,B",None,P02945,None,1-17
5VN7,None,None,"A,B",None,P02945,None,1-17
5VN9,None,None,"A,B",None,P02945,None,1-17
1PY6,None,None,"A,B",None,P02945,None,1-17
1KME,None,None,"A,B",None,P02945,None,1-17
4HWL,None,None,"A,B",None,P02945,None,253-262
4HYX,None,None,"A,B",None,P02945,None,253-262
5VN7,None,None,"A,B",None,P02945,None,253-262
5VN9,None,None,"A,B",None,P02945,None,253-262
1PY6,None,None,"A,B",None,P02945,None,253-262
2IDO,None,None,"A,C",None,P03007,None,1-5
2IDO,None,None,"A,C",None,P03007,None,181-186
3CRO,None,None,"L,R",None,P03036,None,67-71
2GHY,None,None,"A,B",None,Q7BLB4,None,58-63
1OF1,None,None,"A,B",None,P0DTH5,None,268-273
1QHI,None,None,"A,B",None,P0DTH5,None,268-273
1P7C,None,None,"A,B",None,P0DTH5,None,268-273
3F0T,None,None,"A,B",None,P0DTH5,None,268-273
4JBX,None,None,"A,B",None,P0DTH5,None,268-273
4JBY,None,None,"A,B",None,P0DTH5,None,268-273
4OQL,None,None,"A,B",None,P0DTH5,None,268-273
4OQM,None,None,"A,B",None,P0DTH5,None,268-273
4OQN,None,None,"A,B",None,P0DTH5,None,268-273
4OQX,None,None,"A,B",None,P0DTH5,None,268-273
1E2H,None,None,"A,B",None,P0DTH5,None,268-273
1E2I,None,None,"A,B",None,P0DTH5,None,268-273
1E2K,None,None,"A,B",None,P0DTH5,None,268-273
1E2M,None,None,"A,B",None,P0DTH5,None,268-273
1E2N,None,None,"A,B",None,P0DTH5,None,268-273
1KI2,None,None,"A,B",None,P0DTH5,None,268-273
1KI3,None,None,"A,B",None,P0DTH5,None,268-273
1KI4,None,None,"A,B",None,P0DTH5,None,268-273
1KI6,None,None,B,None,P0DTH5,None,268-273
1KI7,None,None,"A,B",None,P0DTH5,None,268-273
1KI8,None,None,"A,B",None,P0DTH5,None,268-273
3RDP,None,None,"A,B",None,P0DTH5,None,268-273
4IVP,None,None,"A,B",None,P0DTH5,None,268-273
4IVQ,None,None,"A,B",None,P0DTH5,None,268-273
4IVR,None,None,"A,B",None,P0DTH5,None,268-273
5I25,None,None,A,None,P03951,None,564-570
5EOK,None,None,A,None,P03951,None,564-570
1W75,None,None,"A,B",None,P04058,None,557-564
1W76,None,None,"A,B",None,P04058,None,557-564
1ZGC,None,None,"A,B",None,P04058,None,557-564
1BC2,None,None,"A,B",None,P04190,None,31-36
1BC2,None,None,"A,B",None,P04190,None,63-67
1FUO,None,None,"A,B",None,P05042,None,461-467
4D69,None,None,"A,B,C,D,E,F,G,H,I,J,K,L",None,P05046,None,267-285
2V8W,None,None,"A,E",None,P06730,None,1-26
2V8X,None,None,"A,E",None,P06730,None,1-26
2V8Y,None,None,"A,E",None,P06730,None,1-26
2W97,None,None,A,None,P06730,None,1-26
3TF2,None,None,"A,B,C,D",None,P06730,None,1-26
3U7X,None,None,"A,B",None,P06730,None,1-26
4AZA,None,None,"A,C",None,P06730,None,1-26
4BEA,None,None,A,None,P06730,None,1-26
5EHC,None,None,A,None,P06730,None,1-26
5EI3,None,None,A,None,P06730,None,1-26
5EIR,None,None,A,None,P06730,None,1-26
4G96,None,None,"A,B,C,D",None,P06734,None,291-298
4G9A,None,None,"A,B,C,D",None,P06734,None,291-298
4J6J,None,None,"A,B,C,D",None,P06734,None,291-298
4J6K,None,None,"A,B,C,D,E,F,G,H",None,P06734,None,291-298
4J6M,None,None,"A,B,C,D,E,F,G,H",None,P06734,None,291-298
4J6N,None,None,"A,B",None,P06734,None,291-298
4J6P,None,None,"A,B,C,D",None,P06734,None,291-298
1IRM,None,None,"A,B,C",None,P06762,None,1-10
1IRM,None,None,"A,B,C",None,P06762,None,226-267
3HYH,None,None,"A,B",None,P06782,None,91-95
3HYH,None,None,"A,B",None,P06782,None,200-205
3IHI,None,None,"A,B",None,P07607,None,14-19
4E5O,None,None,"A,B,C,D,E,F",None,P07607,None,14-19
4EB4,None,None,"A,B,C,D",None,P07607,None,14-19
4EIN,None,None,"A,B",None,P07607,None,14-19
1BCM,None,None,"A,B",None,P07636,None,248-256
2WI2,None,None,"A,B",None,P07900,None,230-236
4FCP,None,None,"A,B",None,P07900,None,230-236
3T1K,None,None,"A,B",None,P07900,None,230-236
3T2S,None,None,"A,B",None,P07900,None,230-236
4L93,None,None,"A,B",None,P07900,None,230-236
2WI2,None,None,"A,B",None,P07900,None,1-16
4FCP,None,None,"A,B",None,P07900,None,1-16
3HHU,None,None,"A,B",None,P07900,None,1-16
3T1K,None,None,"A,B",None,P07900,None,1-16
3T2S,None,None,"A,B",None,P07900,None,1-16
4L93,None,None,"A,B",None,P07900,None,1-16
2SBL,None,None,"A,B",None,P08170,None,1-5
2SBL,None,None,"A,B",None,P08170,None,22-30
1U1K,None,None,A,None,P09651,None,1-7
1U1L,None,None,A,None,P09651,None,1-7
1U1M,None,None,A,None,P09651,None,1-7
1U1N,None,None,A,None,P09651,None,1-7
1U1O,None,None,A,None,P09651,None,1-7
1U1P,None,None,A,None,P09651,None,1-7
1U1Q,None,None,A,None,P09651,None,1-7
1U1R,None,None,A,None,P09651,None,1-7
1PGZ,None,None,A,None,P09651,None,1-7
1U1K,None,None,A,None,P09651,None,191-196
1U1L,None,None,A,None,P09651,None,191-196
1U1M,None,None,A,None,P09651,None,191-196
1U1N,None,None,A,None,P09651,None,191-196
1U1O,None,None,A,None,P09651,None,191-196
1U1P,None,None,A,None,P09651,None,191-196
1U1Q,None,None,A,None,P09651,None,191-196
1U1R,None,None,A,None,P09651,None,191-196
1PGZ,None,None,A,None,P09651,None,191-196
1D9E,None,None,"A,B,C,D",None,P0A715,None,206-217
1U98,None,None,A,None,P0A7G6,None,330-335
1U99,None,None,A,None,P0A7G6,None,330-335
3CMV,None,None,"A,B,C,D,E,F",None,P0A7G6,None,330-335
2BZ0,None,None,"A,B",None,P0A7I7,None,175-196
1LYL,None,None,"A,B,C",None,P0A8N5,None,2-11
1LYL,None,None,"A,B,C",None,P0A8N5,None,155-160
2O97,None,None,B,None,P0ACF4,None,56-73
1Q08,None,None,"A,B",None,P0ACS5,None,137-141
1Q0A,None,None,"A,B",None,P0ACS5,None,137-141
3BCG,None,None,"A,B",None,P0ACS9,None,1-5
1LAU,None,None,E,None,P10186,None,91-106
1UDI,None,None,E,None,P10186,None,91-106
2EAW,None,None,"A,B",None,P11172,None,190-222
3BGJ,None,None,"A,B",None,P11172,None,190-222
1DIR,None,None,"A,B,C,D",None,P11348,None,1-5
4FXD,None,None,"A,B",None,P13382,None,1176-1185
1T6B,None,None,X,None,P13423,None,188-203
1T6B,None,None,X,None,P13423,None,305-311
2JJB,None,None,"A,B,C,D",None,P13482,None,548-565
2WYN,None,None,"A,B,C,D",None,P13482,None,548-565
1DOK,None,None,"A,B",None,P13500,None,94-99
2BDN,None,None,A,None,P13500,None,94-99
4KM7,None,None,"A,B",None,P15328,None,69-75
4ILW,None,None,"A,B",None,P16035,None,209-220
1VDE,None,None,"A,B",None,P17255,None,554-562
2WTR,None,None,A,None,P17870,None,333-338
1G4M,None,None,"A,B",None,P17870,None,333-338
2DFX,None,None,E,None,P18000,None,66-79
2DFX,None,None,E,None,P18000,None,176-180
3I7Z,None,None,A,None,P18031,None,299-321
1M4U,None,None,L,None,P18075,None,293-319
1IAX,None,None,"A,B",None,P18485,None,20-24
4AZL,None,None,"A,B",None,P18895,None,106-115
4B61,None,None,"A,B",None,P18895,None,106-115
1F34,None,None,B,None,P19400,None,143-152
1QJS,None,None,"A,B",None,P20058,None,1-48
1CZ7,None,None,"A,B,C,D",None,P20480,None,673-700
1WQ1,None,None,G,None,P20936,None,1042-1047
4LK2,None,None,"A,B",None,P21372,None,513-523
4LK2,None,None,"A,B",None,P21372,None,674-698
2HET,None,None,"A,B,C,D",None,P21457,None,2-6
1ZYZ,None,None,"A,B",None,P21524,None,1-14
1ZZD,None,None,A,None,P21524,None,1-14
2CVY,None,None,A,None,P21524,None,1-14
2ZLF,None,None,A,None,P21524,None,1-14
1ZYZ,None,None,"A,B",None,P21524,None,46-51
1ZZD,None,None,A,None,P21524,None,46-51
2CVY,None,None,A,None,P21524,None,46-51
2ZLF,None,None,A,None,P21524,None,46-51
1ZYZ,None,None,"A,B",None,P21524,None,797-888
1ZZD,None,None,A,None,P21524,None,797-888
2CVY,None,None,A,None,P21524,None,797-888
2ZLF,None,None,A,None,P21524,None,797-888
1J7V,None,None,L,None,P22301,None,19-28
1Y6K,None,None,L,None,P22301,None,19-28
1OQ4,None,None,"A,B,C,D,E,F",None,P22337,None,34-50
1OQB,None,None,"A,B,C,D,E,F",None,P22337,None,34-50
2XZ0,None,None,"A,B,C",None,P22337,None,34-50
4JO6,None,None,"A,B,C,D",None,P22629,None,164-183
5N7X,None,None,"A,B,E,F,H,K,M,O",None,P22629,None,164-183
5N89,None,None,"A,B,D,F,H,K,M,O",None,P22629,None,164-183
5N8B,None,None,"A,B,D,G",None,P22629,None,164-183
5N8E,None,None,"A,B,C,D",None,P22629,None,164-183
5N8J,None,None,"A,B,C,D",None,P22629,None,164-183
5N8W,None,None,"A,B",None,P22629,None,164-183
5N99,None,None,"A,B,D,G,I,K,M,O,Q,S,U,Y",None,P22629,None,164-183
4JO6,None,None,"A,B,C,D",None,P22629,None,1-36
1I9H,None,None,"A,B",None,P22629,None,1-36
1LCZ,None,None,"A,B",None,P22629,None,1-36
1SLD,None,None,B,None,P22629,None,1-36
1SLE,None,None,"B,D",None,P22629,None,1-36
1SLF,None,None,"B,D",None,P22629,None,1-36
1SLG,None,None,"B,D",None,P22629,None,1-36
2RTB,None,None,"B,D",None,P22629,None,1-36
2RTC,None,None,"B,D",None,P22629,None,1-36
2RTD,None,None,"B,D",None,P22629,None,1-36
2RTE,None,None,"B,D",None,P22629,None,1-36
2RTF,None,None,"B,D",None,P22629,None,1-36
2RTG,None,None,"B,D",None,P22629,None,1-36
2RTH,None,None,"B,D",None,P22629,None,1-36
2RTI,None,None,"B,D",None,P22629,None,1-36
2RTN,None,None,"B,D",None,P22629,None,1-36
2RTO,None,None,"B,D",None,P22629,None,1-36
2RTP,None,None,"B,D",None,P22629,None,1-36
2RTQ,None,None,"B,D",None,P22629,None,1-36
2RTR,None,None,"B,D",None,P22629,None,1-36
5N7X,None,None,"A,B,E,F,H,K,M,O",None,P22629,None,1-36
5N89,None,None,"A,B,D,F,H,K,M,O",None,P22629,None,1-36
5N8B,None,None,"A,B,D,G",None,P22629,None,1-36
5N8E,None,None,"A,B,C,D",None,P22629,None,1-36
5N8J,None,None,"A,B,C,D",None,P22629,None,1-36
5N8W,None,None,"A,B",None,P22629,None,1-36
5N99,None,None,"A,B,D,G,I,K,M,O,Q,S,U,Y",None,P22629,None,1-36
2CL5,None,None,"A,B",None,P22734,None,260-264
3HVJ,None,None,"A,B",None,P22734,None,260-264
4P7G,None,None,"A,B,C,D",None,P22734,None,260-264
5LQU,None,None,"A,B",None,P22734,None,260-264
4RLO,None,None,"A,B",None,P23443,None,128-140
4RLO,None,None,"A,B",None,P23443,None,245-254
2WHO,None,None,"A,B",None,P26663,None,2951-2955
3IPY,None,None,"A,B",None,P27707,None,65-76
1IWE,None,None,"A,B",None,P28650,None,1-26
1LNY,None,None,"A,B",None,P28650,None,1-26
1Q2R,None,None,"A,B,C,D",None,P28720,None,1-10
1VGO,None,None,"A,B",None,P29563,None,249-259
2Z55,None,None,"A,B,D,E",None,P29563,None,249-259
4NDN,None,None,"A,B,C,D",None,P31153,None,1-12
1G64,None,None,"A,B",None,P31570,None,1-6
1N0V,None,None,"C,D",None,P32324,None,51-66
2NPF,None,None,"A,B",None,P32324,None,51-66
2ZIT,None,None,"A,C,E",None,P32324,None,51-66
3B78,None,None,"A,C,E",None,P32324,None,51-66
3B82,None,None,"A,C,E",None,P32324,None,51-66
3B8H,None,None,"A,C,E",None,P32324,None,51-66
1GSZ,None,None,"A,B,C",None,P33247,None,1-9
1H35,None,None,"A,B,C",None,P33247,None,1-9
1H36,None,None,"A,B,C",None,P33247,None,1-9
1H37,None,None,"A,B,C",None,P33247,None,1-9
1H39,None,None,"A,B,C",None,P33247,None,1-9
1H3A,None,None,"A,B,C",None,P33247,None,1-9
1H3B,None,None,"A,B,C",None,P33247,None,1-9
1H3C,None,None,"A,B,C",None,P33247,None,1-9
1O6H,None,None,"A,B,C",None,P33247,None,1-9
1O6Q,None,None,"A,B,C",None,P33247,None,1-9
1O6R,None,None,"A,B,C",None,P33247,None,1-9
1O79,None,None,"A,B,C",None,P33247,None,1-9
1UMP,None,None,"A,B,C",None,P33247,None,1-9
2VGN,None,None,"A,B",None,P33309,None,48-59
2VGN,None,None,"A,B",None,P33309,None,171-178
4O6L,None,None,B,None,P33981,None,674-684
4O6L,None,None,B,None,P33981,None,699-710
4C4X,None,None,"A,B",None,P34913,None,548-555
4C4Z,None,None,"A,B",None,P34913,None,548-555
3TUV,None,None,A,None,P35559,None,969-977
3TUV,None,None,A,None,P35559,None,1012-1019
3ZM9,None,None,"A,B",None,P35790,None,75-79
4BR3,None,None,"A,B",None,P35790,None,75-79
1BGE,None,None,"A,B",None,P35834,None,1-8
1BGE,None,None,"A,B",None,P35834,None,131-136
1IT6,None,None,"A,B",None,P36873,None,1-5
2BCD,None,None,A,None,P36873,None,1-5
2BDX,None,None,A,None,P36873,None,1-5
4UT2,None,None,"A,B",None,P36873,None,1-5
4UT3,None,None,"A,B",None,P36873,None,1-5
4RP8,None,None,"A,C",None,P39301,None,1-5
4RP8,None,None,"A,C",None,P39301,None,457-465
1A4X,None,None,"A,B",None,P39765,None,74-81
3GQ2,None,None,"A,B",None,P41541,None,1-16
3GQ2,None,None,"A,B",None,P41541,None,98-107
3GQ2,None,None,"A,B",None,P41541,None,643-651
4L1B,None,None,A,None,P42336,None,310-319
4L23,None,None,A,None,P42336,None,310-319
4L2Y,None,None,A,None,P42336,None,310-319
5DXH,None,None,"A,D",None,P42336,None,310-319
4L1B,None,None,A,None,P42336,None,864-868
4L23,None,None,A,None,P42336,None,864-868
4L2Y,None,None,A,None,P42336,None,864-868
5DXH,None,None,"A,D",None,P42336,None,864-868
4L1B,None,None,A,None,P42336,None,1063-1068
4L23,None,None,A,None,P42336,None,1063-1068
4L2Y,None,None,A,None,P42336,None,1063-1068
5DXH,None,None,"A,D",None,P42336,None,1063-1068
5HK5,None,None,"A,B,C,D",None,P43026,None,382-396
1P74,None,None,"A,B",None,P43876,None,192-196
3IQG,None,None,X,None,P45040,None,312-316
3IQH,None,None,X,None,P45040,None,312-316
3IQI,None,None,X,None,P45040,None,312-316
4LI3,None,None,X,None,P45040,None,312-316
2THI,None,None,"A,B",None,P45741,None,401-409
1IVU,None,None,"A,B",None,P46881,None,1-8
1WMP,None,None,"A,B",None,P46881,None,1-8
2ZL8,None,None,"A,B",None,P46881,None,1-8
3AMO,None,None,"A,B",None,P46881,None,1-8
1IVU,None,None,"A,B",None,P46881,None,629-638
1WMP,None,None,"A,B",None,P46881,None,629-638
2ZL8,None,None,"A,B",None,P46881,None,629-638
3AMO,None,None,"A,B",None,P46881,None,629-638
2CM6,None,None,"A,B",None,P47709,None,519-523
2CM6,None,None,"A,B",None,P47709,None,679-684
1KWP,None,None,"A,B",None,P49137,None,1-43
1KWP,None,None,"A,B",None,P49137,None,386-400
1ROZ,None,None,"A,B",None,P49366,None,1-8
1RQD,None,None,"A,B",None,P49366,None,1-8
1OIZ,None,None,"A,B",None,P49638,None,1-8
4HTP,None,None,"A,B",None,P49917,None,1-6
4HTP,None,None,"A,B",None,P49917,None,115-122
3HQD,None,None,"A,B",None,P52732,None,1-15
1II6,None,None,"A,B",None,P52732,None,1-15
1YRS,None,None,"A,B",None,P52732,None,1-15
2FME,None,None,"A,B",None,P52732,None,1-15
2G1Q,None,None,"A,B",None,P52732,None,1-15
2GM1,None,None,"A,B,D,E",None,P52732,None,1-15
2PG2,None,None,"A,B",None,P52732,None,1-15
2UYI,None,None,"A,B",None,P52732,None,1-15
2UYM,None,None,"A,B",None,P52732,None,1-15
2WOG,None,None,"A,B,C",None,P52732,None,1-15
2X2R,None,None,"A,B,C",None,P52732,None,1-15
2X7C,None,None,"A,B",None,P52732,None,1-15
2X7D,None,None,"A,B",None,P52732,None,1-15
2X7E,None,None,"A,B",None,P52732,None,1-15
2XAE,None,None,"A,B,C",None,P52732,None,1-15
3K3B,None,None,"A,B",None,P52732,None,1-15
3K5E,None,None,"A,B",None,P52732,None,1-15
3L9H,None,None,"A,B",None,P52732,None,1-15
4A51,None,None,"A,B,C,D,E,F,G",None,P52732,None,1-15
4A5Y,None,None,"A,B,C",None,P52732,None,1-15
4BXN,None,None,"A,B",None,P52732,None,1-15
1Q4K,None,None,"A,B,C",None,P53350,None,596-603
2OJX,None,None,A,None,P53350,None,596-603
3BZI,None,None,A,None,P53350,None,596-603
1Q4O,None,None,"A,B",None,P53350,None,596-603
1UMW,None,None,"A,B",None,P53350,None,596-603
4DFW,None,None,A,None,P53350,None,596-603
3V6R,None,None,"A,B",None,P53779,None,39-44
3V6S,None,None,"A,B",None,P53779,None,39-44
3OXI,None,None,A,None,P53779,None,39-44
3QQ8,None,None,A,None,P55072,None,2-9
1UEH,None,None,"A,B",None,P60472,None,1-11
1V7U,None,None,"A,B",None,P60472,None,1-11
2E98,None,None,"A,B",None,P60472,None,1-11
2E99,None,None,"A,B",None,P60472,None,1-11
2E9A,None,None,"A,B",None,P60472,None,1-11
2E9C,None,None,"A,B",None,P60472,None,1-11
2E9D,None,None,"A,B",None,P60472,None,1-11
3QAS,None,None,"A,B",None,P60472,None,1-11
3SGV,None,None,"A,B",None,P60472,None,1-11
3SGX,None,None,"A,B",None,P60472,None,1-11
3SH0,None,None,"A,B",None,P60472,None,1-11
3TH8,None,None,"A,B",None,P60472,None,1-11
3WYJ,None,None,"A,B",None,P60472,None,1-11
4H2J,None,None,"A,B",None,P60472,None,1-11
4H2M,None,None,"A,B",None,P60472,None,1-11
4H2O,None,None,"A,B",None,P60472,None,1-11
4H38,None,None,"A,B",None,P60472,None,1-11
4H3A,None,None,"A,B",None,P60472,None,1-11
4H3C,None,None,"A,B",None,P60472,None,1-11
5CQJ,None,None,"A,B",None,P60472,None,1-11
1UEH,None,None,"A,B",None,P60472,None,245-253
1V7U,None,None,"A,B",None,P60472,None,245-253
2E98,None,None,"A,B",None,P60472,None,245-253
2E99,None,None,"A,B",None,P60472,None,245-253
2E9A,None,None,"A,B",None,P60472,None,245-253
2E9C,None,None,"A,B",None,P60472,None,245-253
2E9D,None,None,"A,B",None,P60472,None,245-253
3QAS,None,None,"A,B",None,P60472,None,245-253
3SGV,None,None,"A,B",None,P60472,None,245-253
3SGX,None,None,"A,B",None,P60472,None,245-253
3SH0,None,None,"A,B",None,P60472,None,245-253
3TH8,None,None,"A,B",None,P60472,None,245-253
3WYJ,None,None,"A,B",None,P60472,None,245-253
4H2J,None,None,"A,B",None,P60472,None,245-253
4H2M,None,None,"A,B",None,P60472,None,245-253
4H2O,None,None,"A,B",None,P60472,None,245-253
4H38,None,None,"A,B",None,P60472,None,245-253
4H3A,None,None,"A,B",None,P60472,None,245-253
4H3C,None,None,"A,B",None,P60472,None,245-253
5CQJ,None,None,"A,B",None,P60472,None,245-253
5CQB,None,None,"A,B",None,P60472,None,245-253
1T75,None,None,"A,B,D,E",None,P61517,None,216-220
2ESF,None,None,"A,B",None,P61517,None,216-220
1C77,None,None,"A,B",None,P68802,None,28-33
1C78,None,None,"A,B",None,P68802,None,28-33
1C79,None,None,"A,B",None,P68802,None,28-33
5CRF,None,None,"A,B,C,D",None,P71707,None,786-820
1G4U,None,None,S,None,P74873,None,161-166
1M41,None,None,"A,B",None,P80645,None,265-281
1M41,None,None,"A,B",None,P80645,None,363-381
1DZJ,None,None,"A,B",None,P81245,None,1-8
1DZK,None,None,"A,B",None,P81245,None,1-8
1DZM,None,None,"A,B",None,P81245,None,1-8
1DZP,None,None,"A,B",None,P81245,None,1-8
1E00,None,None,"A,B",None,P81245,None,1-8
1E02,None,None,"A,B",None,P81245,None,1-8
1E06,None,None,"A,B",None,P81245,None,1-8
1MK2,None,None,A,None,P84022,None,419-425
1N1E,None,None,"A,B",None,P90551,None,1-8
1N1E,None,None,"A,B",None,P90551,None,358-366
1O9D,None,None,A,None,P93343,None,241-260
1O9F,None,None,A,None,P93343,None,241-260
3E6Y,None,None,"A,B",None,P93343,None,241-260
4UAS,None,None,"A,B",None,P95649,None,226-230
1G73,None,None,"C,D",None,P98170,None,241-249
2FF4,None,None,B,None,P9WGJ9,None,383-388
5H8U,None,None,"A,B",None,P9WK17,None,304-308
5H8U,None,None,"A,B",None,P9WK17,None,728-741
4UNQ,None,None,"A,B",None,P9WKE1,None,150-167
4UNR,None,None,"A,B",None,P9WKE1,None,150-167
4UNS,None,None,"A,B",None,P9WKE1,None,150-167
5LI6,None,None,"A,B",None,P9WPN8,None,1-5
5LI7,None,None,"A,B",None,P9WPN8,None,1-5
